"NAME","LSAD","CENSUS2010POP","NPOPCHG_2010","NATURALINC2010","BIRTHS2010","DEATHS2010","NETMIG2010","INTERNATIONALMIG2010","DOMESTICMIG2010","RESIDUAL2010"
"Abilene, TX","Metropolitan Statistical Area",165252,417,228,609,381,190,77,113,-1
"Callahan County, TX","County or equivalent",13544,-12,-14,36,50,2,1,1,0
"Jones County, TX","County or equivalent",20202,27,10,41,31,17,2,15,0
"Taylor County, TX","County or equivalent",131506,402,232,532,300,171,74,97,-1
"Akron, OH","Metropolitan Statistical Area",703200,-332,310,1945,1635,-631,127,-758,-11
"Portage County, OH","County or equivalent",161419,-38,65,385,320,-101,26,-127,-2
"Summit County, OH","County or equivalent",541781,-294,245,1560,1315,-530,101,-631,-9
"Albany, GA","Metropolitan Statistical Area",157308,277,220,542,322,57,36,21,0
"Baker County, GA","County or equivalent",3451,-60,4,6,2,-61,0,-61,-3
"Dougherty County, GA","County or equivalent",94565,156,147,363,216,11,32,-21,-2
"Lee County, GA","County or equivalent",28298,151,31,83,52,116,3,113,4
"Terrell County, GA","County or equivalent",9315,69,26,34,8,43,1,42,0
"Worth County, GA","County or equivalent",21679,-39,12,56,44,-52,0,-52,1
"Albany-Schenectady-Troy, NY","Metropolitan Statistical Area",870716,248,443,2293,1850,-184,408,-592,-11
"Albany County, NY","County or equivalent",304204,-317,133,769,636,-453,188,-641,3
"Rensselaer County, NY","County or equivalent",159429,36,78,443,365,-37,75,-112,-5
"Saratoga County, NY","County or equivalent",219607,381,126,547,421,257,68,189,-2
"Schenectady County, NY","County or equivalent",154727,205,122,467,345,88,76,12,-5
"Schoharie County, NY","County or equivalent",32749,-57,-16,67,83,-39,1,-40,-2
"Albuquerque, NM","Metropolitan Statistical Area",887077,2893,1387,2938,1551,1499,468,1031,7
"Bernalillo County, NM","County or equivalent",662564,1861,1049,2250,1201,814,425,389,-2
"Sandoval County, NM","County or equivalent",131561,826,215,397,182,598,24,574,13
"Torrance County, NM","County or equivalent",16383,-2,32,42,10,-32,2,-34,-2
"Valencia County, NM","County or equivalent",76569,208,91,249,158,119,17,102,-2
"Alexandria, LA","Metropolitan Statistical Area",153922,193,136,532,396,62,35,27,-5
"Grant Parish, LA","County or equivalent",22309,26,17,66,49,10,2,8,-1
"Rapides Parish, LA","County or equivalent",131613,167,119,466,347,52,33,19,-4
"Allentown-Bethlehem-Easton, PA-NJ","Metropolitan Statistical Area",821173,1121,373,2198,1825,768,402,366,-20
"Warren County, NJ","County or equivalent",108692,-21,9,234,225,-28,42,-70,-2
"Carbon County, PA","County or equivalent",65249,-25,-52,147,199,30,2,28,-3
"Lehigh County, PA","County or equivalent",349497,714,315,1064,749,407,252,155,-8
"Northampton County, PA","County or equivalent",297735,453,101,753,652,359,106,253,-7
"Altoona, PA","Metropolitan Statistical Area",127089,-46,-51,353,404,12,1,11,-7
"Blair County, PA","County or equivalent",127089,-46,-51,353,404,12,1,11,-7
"Amarillo, TX","Metropolitan Statistical Area",249881,873,512,972,460,356,116,240,5
"Armstrong County, TX","County or equivalent",1901,0,3,6,3,-4,0,-4,1
"Carson County, TX","County or equivalent",6182,-10,8,14,6,-18,0,-18,0
"Potter County, TX","County or equivalent",121073,375,323,559,236,55,90,-35,-3
"Randall County, TX","County or equivalent",120725,508,178,393,215,323,26,297,7
"Ames, IA","Metropolitan Statistical Area",89542,25,115,236,121,-95,91,-186,5
"Story County, IA","County or equivalent",89542,25,115,236,121,-95,91,-186,5
"Anchorage, AK","Metropolitan Statistical Area",380821,2307,1078,1461,383,1201,331,870,28
"Anchorage Municipality, AK","County or equivalent",291826,1530,844,1128,284,674,314,360,12
"Matanuska-Susitna Borough, AK","County or equivalent",88995,777,234,333,99,527,17,510,16
"Anderson, IN","Metropolitan Statistical Area",131636,16,68,400,332,-48,6,-54,-4
"Madison County, IN","County or equivalent",131636,16,68,400,332,-48,6,-54,-4
"Anderson, SC","Metropolitan Statistical Area",187126,160,72,561,489,96,42,54,-8
"Anderson County, SC","County or equivalent",187126,160,72,561,489,96,42,54,-8
"Ann Arbor, MI","Metropolitan Statistical Area",344791,459,480,953,473,-29,361,-390,8
"Washtenaw County, MI","County or equivalent",344791,459,480,953,473,-29,361,-390,8
"Anniston-Oxford, AL","Metropolitan Statistical Area",118572,-146,-17,324,341,-127,15,-142,-2
"Calhoun County, AL","County or equivalent",118572,-146,-17,324,341,-127,15,-142,-2
"Appleton, WI","Metropolitan Statistical Area",225666,318,336,704,368,-16,37,-53,-2
"Calumet County, WI","County or equivalent",48971,48,57,142,85,-9,1,-10,0
"Outagamie County, WI","County or equivalent",176695,270,279,562,283,-7,36,-43,-2
"Asheville, NC","Metropolitan Statistical Area",424858,708,-35,1063,1098,757,175,582,-14
"Buncombe County, NC","County or equivalent",238318,527,74,635,561,454,118,336,-1
"Haywood County, NC","County or equivalent",59036,-62,-44,127,171,-13,4,-17,-5
"Henderson County, NC","County or equivalent",106740,225,-51,262,313,283,50,233,-7
"Madison County, NC","County or equivalent",20764,18,-14,39,53,33,3,30,-1
"Athens-Clarke County, GA","Metropolitan Statistical Area",192541,280,274,573,299,-3,143,-146,9
"Clarke County, GA","County or equivalent",116714,-4,190,361,171,-203,120,-323,9
"Madison County, GA","County or equivalent",28120,57,20,86,66,37,5,32,0
"Oconee County, GA","County or equivalent",32808,210,43,87,44,166,18,148,1
"Oglethorpe County, GA","County or equivalent",14899,17,21,39,18,-3,0,-3,-1
"Atlanta-Sandy Springs-Marietta, GA","Metropolitan Statistical Area",5268860,17436,10310,18054,7744,6897,4456,2441,229
"Barrow County, GA","County or equivalent",69367,357,138,254,116,215,24,191,4
"Bartow County, GA","County or equivalent",100157,9,138,327,189,-133,33,-166,4
"Butts County, GA","County or equivalent",23655,19,9,67,58,11,3,8,-1
"Carroll County, GA","County or equivalent",110527,154,153,381,228,1,57,-56,0
"Cherokee County, GA","County or equivalent",214346,901,450,705,255,448,96,352,3
"Clayton County, GA","County or equivalent",259424,218,729,1073,344,-534,225,-759,23
