"sex","height","weight","handedness","exercise","smoke"
"Female",68,158,"Right","Some","Never"
"Male",70,256,"Left","None","Regul"
"Male",NA,204,"Right","None","Occas"
"Male",63,187,"Right","None","Never"
"Male",65,168,"Right","Some","Never"
"Female",68,172,"Right","Some","Never"
"Male",72,160,"Right","Freq","Never"
"Female",62,116,"Right","Freq","Never"
"Male",69,262,"Right","Some","Never"
"Male",66,189,"Right","Some","Never"
"Female",62,145,"Right","Freq","Never"
"Male",NA,210,"Right","Freq","Never"
"Female",61,169,"Right","Some","Never"
"Female",61,142,"Right","Some","Never"
"Male",NA,152,"Right","Some","Never"
"Female",61,144,"Right","Freq","Never"
"Female",62,130,"Right","Freq","Never"
"Male",72,179,"Left","Some","Never"
"Male",75,226,"Right","Some","Never"
"Male",70,193,"Right","Freq","Never"
"Male",75,182,"Right","Freq","Never"
"Male",71,149,"Right","Freq","Never"
"Male",71,180,"Right","Freq","Never"
"Male",72,204,"Right","Some","Never"
"Female",NA,132,"Right","Some","Never"
"Male",NA,242,"Right","Some","Never"
"Male",68,208,"Right","Some","Never"
"Male",69,171,"Right","Freq","Never"
"Male",NA,137,"Right","Freq","Never"
"Male",66,215,"Right","Some","Never"
"Female",NA,152,"Right","None","Occas"
"Male",71,211,"Right","Freq","Never"
"Female",66,136,"Right","Freq","Heavy"
"Male",71,232,"Right","Some","Never"
"Male",NA,260,"Right","Some","Regul"
"Male",75,179,"Right","Freq","Occas"
"Female",66,172,"Right","Some","Never"
"Male",72,218,"Right","Freq","Never"
"Male",73,213,"Right","Some","Never"
"Male",67,191,"Right","Freq","Occas"
"Female",66,137,"Right","Some","Never"
"Female",61,161,"Right","Some","Never"
"Male",68,189,"Right","Some","Never"
"Female",70,138,"Right","Some","Never"
"Female",71,172,NA,"Freq","Never"
"Male",71,228,"Right","Freq","Never"
"Male",71,215,"Right","Freq","Regul"
"Male",67,148,"Right","None","Never"
"Female",66,162,"Right","Some","Occas"
"Female",65,183,"Right","None","Never"
"Male",79,173,"Left","Freq","Never"
"Male",75,224,"Right","Freq","Never"
"Male",67,204,"Right","Some","Never"
"Male",70,195,"Right","Freq","Never"
"Male",72,181,"Right","Freq","Regul"
"Male",67,157,"Right","Freq","Never"
"Female",62,197,"Right","None","Never"
"Male",NA,195,"Right","Freq","Never"
"Male",70,194,"Right","Freq","Never"
"Male",69,186,"Left","Freq","Occas"
"Male",74,167,"Right","Freq","Never"
"Female",66,141,"Right","Freq","Never"
"Female",70,122,"Right","Freq","Never"
"Female",67,169,"Left","None","Never"
